자치구별,초_도내_전출,초_도외_전출,초_도내_전입,초_도외_전입
소계,14601,10886,14444,6855,2662
종로구,190,105,190,54,55
중구,202,109,128,34,37
용산구,316,200,163,132,73
성동구,543,269,247,119,82
광진구,404,362,313,156,100
동대문구,468,278,329,156,97
중랑구,450,514,317,143,92
성북구,610,435,619,276,116
강북구,323,191,249,94,77
도봉구,479,310,324,145,63
노원구,754,630,835,471,134
은평구,597,598,580,280,92
서대문구,412,277,340,147,62
마포구,512,268,461,208,99
양천구,680,471,1158,550,163
강서구,905,838,786,382,102
구로구,610,601,299,234,86
금천구,258,344,188,115,45
영등포구,532,437,411,304,231
동작구,691,485,440,238,108
관악구,536,501,254,178,86
서초구,1069,576,1323,363,141
강남구,892,497,1828,797,130
송파구,1228,975,1297,702,254
강동구,940,615,1365,577,137
